GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spaghetti-finance,default,MainApp,68,0,0,0,21,0,2,0,2,0
spaghetti-finance,com.university.finance.pattern.strategy,TransferStrategy,0,12,0,0,0,5,0,2,0,2
spaghetti-finance,com.university.finance.pattern.strategy,WithdrawStrategy,0,7,0,0,0,3,0,2,0,2
spaghetti-finance,com.university.finance.pattern.strategy,DepositStrategy,0,7,0,0,0,3,0,2,0,2
spaghetti-finance,com.university.finance.pattern.factory,AccountFactory,0,3,0,0,0,1,0,1,0,1
spaghetti-finance,com.university.finance.pattern.factory,UserFactory,0,3,0,0,0,1,0,1,0,1
spaghetti-finance,com.university.finance.pattern.factory,ConcreteAccountFactory,0,9,0,0,0,2,0,2,0,2
spaghetti-finance,com.university.finance.pattern.factory,ConcreteUserFactory,0,9,0,0,0,2,0,2,0,2
spaghetti-finance,com.university.finance.service,BankingService,61,224,7,9,18,58,14,11,7,10
spaghetti-finance,com.university.finance.service,TransactionService,154,184,16,12,43,47,15,10,4,7
spaghetti-finance,com.university.finance.config,AppConfig,2,0,0,0,1,0,1,0,1,0
spaghetti-finance,com.university.finance.config,AppConfig.Holder,5,0,0,0,1,0,1,0,1,0
spaghetti-finance,com.university.finance.model,ConcreteUser,0,15,0,0,0,6,0,3,0,3
spaghetti-finance,com.university.finance.model,Transaction,0,55,0,0,0,15,0,8,0,8
spaghetti-finance,com.university.finance.model,ConcreteAccount,0,36,0,0,0,13,0,6,0,6
spaghetti-finance,com.university.finance.pattern.command,TransactionHistoryCommand,0,49,0,4,0,13,0,4,0,2
spaghetti-finance,com.university.finance.pattern.command,MenuHandler,19,185,3,5,7,40,3,6,0,5
spaghetti-finance,com.university.finance.pattern.command,AddUserCommand,16,65,2,2,6,20,2,2,0,2
spaghetti-finance,com.university.finance.pattern.command,DisplayBalanceCommand,0,35,0,2,0,11,0,3,0,2
spaghetti-finance,com.university.finance.pattern.command,ExitCommand,0,13,0,0,0,6,0,2,0,2
spaghetti-finance,com.university.finance.pattern.command,TransferCommand,20,87,4,4,6,25,4,2,0,2
spaghetti-finance,com.university.finance.pattern.command,DepositCommand,12,51,2,2,4,15,2,2,0,2
spaghetti-finance,com.university.finance.pattern.command,WithdrawCommand,16,61,3,3,5,18,3,2,0,2
spaghetti-finance,com.university.finance.pattern.observer,NotificationService,0,8,0,0,0,3,0,2,0,2
spaghetti-finance,com.university.finance.pattern.observer,AuditLogger,0,8,0,0,0,3,0,2,0,2
